month_year,price_eur,month_return,month_return_after_TER
02/1992,10000.0,,
03/1992,10067.640613,0.00676406,0.0067389
04/1992,10269.78074,0.0200782,0.0200527
05/1992,10122.864971,-0.01430564,-0.01433028
06/1992,9686.877526,-0.04306957,-0.04309349
07/1992,9602.987256,-0.0086602,-0.00868498
08/1992,9169.255257,-0.04516636,-0.04519023
09/1992,9491.321883,0.03512462,0.03509875
10/1992,9920.291928,0.04519603,0.0451699
11/1992,10930.112147,0.1017934,0.10176586
12/1992,11057.097712,0.01161796,0.01159267
01/1993,11367.305059,0.02805504,0.02802935
02/1993,11809.294459,0.03888251,0.03885655
03/1993,12117.829643,0.02612647,0.02610082
04/1993,11422.59738,-0.05737267,-0.05739623
05/1993,11757.082399,0.02928275,0.02925702
06/1993,12135.607847,0.03219553,0.03216972
07/1993,12599.435989,0.03822043,0.03819448
08/1993,13177.410406,0.04587304,0.0458469
09/1993,12556.483718,-0.04712054,-0.04714436
10/1993,12966.668179,0.03266714,0.03264133
11/1993,13187.993102,0.01706876,0.01704334
12/1993,13341.535043,0.01164256,0.01161727
01/1994,13982.159821,0.04801732,0.04799113
02/1994,13550.343899,-0.03088335,-0.03090757
03/1994,12691.652798,-0.06337043,-0.06339384
04/1994,12891.672762,0.01575996,0.01573457
05/1994,12821.613418,-0.00543446,-0.00545933
06/1994,12304.236877,-0.04035191,-0.04037589
07/1994,12316.604873,0.00100518,0.00098016
08/1994,12836.310174,0.0421955,0.04216945
09/1994,12388.229941,-0.03490725,-0.03493137
10/1994,12424.473496,0.00292564,0.00290058
11/1994,12150.008579,-0.02209067,-0.02211511
12/1994,12582.415013,0.03558898,0.0355631
01/1995,12644.893743,0.00496556,0.00494044
02/1995,12993.880712,0.02759904,0.02757336
03/1995,12857.484287,-0.01049697,-0.01052171
04/1995,12982.853313,0.00975067,0.00972543
05/1995,13710.366893,0.05603649,0.0560101
06/1995,13911.774039,0.01469014,0.01466477
07/1995,14206.113189,0.02115756,0.02113203
08/1995,14673.019848,0.0328666,0.03284078
09/1995,15488.442609,0.05557293,0.05554655
10/1995,15193.003751,-0.01907479,-0.01909931
11/1995,15894.229797,0.04615454,0.04612839
12/1995,16456.948765,0.03540398,0.0353781
01/1996,17223.681849,0.04659023,0.04656407
02/1996,17483.252119,0.01507054,0.01504517
03/1996,17640.287714,0.00898206,0.00895684
04/1996,18052.988687,0.02339537,0.02336978
05/1996,18743.208585,0.038233,0.03820705
06/1996,18668.803072,-0.00396973,-0.00399463
07/1996,17572.862697,-0.05870437,-0.0587279
08/1996,17780.8827,0.01183757,0.01181228
09/1996,18944.463296,0.06543998,0.06541335
10/1996,19527.520176,0.03077717,0.0307514
11/1996,20733.968605,0.06178196,0.06175542
12/1996,20772.951105,0.00188013,0.00185508
01/1997,22671.040239,0.09137311,0.09134583
02/1997,23844.209246,0.05174747,0.05172118
03/1997,23129.892745,-0.02995765,-0.0299819
